City,DIVISION NUMBER,DIVISION NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL ACCREDITATION RATING,ENGLISH,ENGLISH STATUS,MATHEMATICS,MATHEMATICS STATUS,HISTORY,HISTORY STATUS,SCIENCE,SCIENCE STATUS,GCI,GCI Status
Accomac,1,Accomack County,701,Accawmacke Elementary,Fully Accredited,78,Meets Benchmark,82,Meets Benchmark,90,Meets Benchmark,84,Meets Benchmark,-,Does not have a Graduating Class
Oak Hall,1,Accomack County,540,Arcadia High,Fully Accredited,87,Meets Benchmark,80,Meets Benchmark,79,Meets Benchmark,80,Meets Benchmark,94,Meets Benchmark
Oak Hall,1,Accomack County,704,Arcadia Middle,Accredited with Warning,65,Warned,73,Meets Benchmark,78,Meets Benchmark,78,Meets Benchmark,-,Does not have a Graduating Class
Chincoteague,1,Accomack County,80,Chincoteague Elementary,Fully Accredited,87,Meets Benchmark,76,Meets Benchmark,83,Meets Benchmark,87,Meets Benchmark,-,Does not have a Graduating Class
Chincoteague,1,Accomack County,580,Chincoteague High,Fully Accredited,75,Meets Benchmark,86,Meets Benchmark,89,Meets Benchmark,80,Meets Benchmark,95,Meets Benchmark
,1,Accomack County,600,Kegotank Elementary,Fully Accredited,75,Meets Benchmark,82,Meets Benchmark,87,Meets Benchmark,79,Meets Benchmark,-,Does not have a Graduating Class
Parksley,1,Accomack County,702,Metompkin Elementary,Accredited with Warning,56,Warned,59,Warned,78,Meets Benchmark,70,Meets Benchmark,-,Does not have a Graduating Class
,1,Accomack County,70,Nandua High,Fully Accredited,92,Meets Benchmark,84,Meets Benchmark,80,Meets Benchmark,86,Meets Benchmark,91,Meets Benchmark
,1,Accomack County,703,Nandua Middle,Accredited with Warning,68,Warned,72,Meets Benchmark,81,Meets Benchmark,71,Meets Benchmark,-,Does not have a Graduating Class
,1,Accomack County,590,Pungoteague Elementary,Accredited with Warning,61,Warned,74,Meets Benchmark,78,Meets Benchmark,78,Meets Benchmark,-,Does not have a Graduating Class
,1,Accomack County,530,Tangier Combined,Fully Accredited,76,Meets Benchmark,78,Meets Benchmark,93,Meets Benchmark,81,Meets Benchmark,<,Meets Benchmark
,2,Albemarle County,160,Agnor-Hurt Elementary,Accredited with Warning,75,Meets Benchmark,64,Warned,73,Meets Benchmark,70,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,1060,Albemarle County Community Public Charter School,Fully Accredited,60,Warned,10,Warned,56,Warned,58,Warned,-,Does not have a Graduating Class
,2,Albemarle County,880,Albemarle High,Fully Accredited,91,Meets Benchmark,76,Meets Benchmark,87,Meets Benchmark,87,Meets Benchmark,96,Meets Benchmark
,2,Albemarle County,1053,Baker-Butler Elem,Fully Accredited,80,Meets Benchmark,75,Meets Benchmark,86,Meets Benchmark,76,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,900,Benjamin F. Yancey Elementary,Accredited with Warning,52,Warned,53,Warned,69,Warned,57,Warned,-,Does not have a Graduating Class
,2,Albemarle County,100,Broadus Wood Elementary,Fully Accredited,76,Meets Benchmark,70,Meets Benchmark,76,Meets Benchmark,84,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,941,Brownsville Elementary,Fully Accredited,84,Meets Benchmark,84,Meets Benchmark,91,Meets Benchmark,90,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,340,Crozet Elementary,Fully Accredited,76,Meets Benchmark,72,Meets Benchmark,77,Meets Benchmark,77,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,10,Hollymead Elementary,Fully Accredited,89,Meets Benchmark,90,Meets Benchmark,91,Meets Benchmark,89,Meets Benchmark,-,Does not have a Graduating Class
